date,us_base,us_behavioral,us_adj_total,tw_base,tw_behavioral,tw_adj_total,divergence_base,divergence_behavioral
2014-06-12,59.053772071359596,59.053772071359596,0.0,63.0362110867811,64.21976577239053,1.1835546856094297,3.9824390154215052,5.165993701030935
2014-06-13,60.72339263876677,60.996169544678274,0.27277690591150616,60.37124302956745,60.50983308874991,0.13859005918245515,0.3521496091993157,0.4863364559283667
2014-06-16,59.90205771448511,59.90205771448511,0.0,60.196004387086816,60.26881958476056,0.07281519767374078,0.2939466726017059,0.3667618702754467
2014-06-17,61.40376724452763,61.879359385331405,0.47559214080377643,62.81641062400828,63.94847733862613,1.1320667146178494,1.4126433794806488,2.0691179532947217
2014-06-18,67.45500348932524,71.40618405748212,3.951180568156886,65.59466048829829,68.43049493912363,2.8358344508253452,1.8603430010269477,2.9756891183584884
2014-06-19,64.04075879567795,65.6895897100198,1.6488309143418576,57.40954018598008,57.40954018598008,0.0,6.631218609697868,8.280049524039725
2014-06-20,63.701667001942916,65.19595932372549,1.4942923217825737,57.73256907859748,57.73256907859748,0.0,5.969097923345437,7.463390245128011
2014-06-23,62.48898998955241,63.37711034151879,0.8881203519663785,59.99220132132435,59.99220132132435,0.0,2.4967886682280565,3.384909020194435
2014-06-24,60.43491572915404,60.53298516899514,0.0980694398410975,52.36136510157546,52.36136510157546,0.0,8.073550627578584,8.171620067419681
2014-06-25,63.66734419885146,64.70099538297607,1.033651184124615,52.36577422854691,52.36577422854691,0.0,11.301569970304548,12.335221154429163
2014-06-26,62.96106303091867,63.6085976762053,0.6475346452866262,59.32014895894745,59.32014895894745,0.0,3.640914071971224,4.28844871725785
2014-06-27,64.12869903879586,65.04630117548453,0.9176021366886715,54.83837186268405,54.83837186268405,0.0,9.29032717611181,10.20792931280048
2014-06-30,62.77436992893324,63.341869740145256,0.5674998112120164,56.95579786857519,56.95579786857519,0.0,5.818572060358051,6.386071871570067
2014-07-01,64.75263044322341,66.09186582835471,1.3392353851313032,61.8015563771357,62.46184592456979,0.6602895474340968,2.9510740660877133,3.6300199037849197
2014-07-02,65.14453217449397,66.53647704850484,1.3919448740108606,69.30667247084827,77.11995180335636,7.813279332508088,4.162140296354295,10.583474754851522
2014-07-03,66.64882700117194,68.26266408562591,1.6138370844539764,62.368229194600815,63.41697446678082,1.0487452721800068,4.280597806571123,4.845689618845093
2014-07-07,62.51856304714429,62.93496345001104,0.4164004028667492,60.208426025646396,60.29380365257395,0.0853776269275528,2.3101370214978942,2.6411597974370906
2014-07-08,58.35166562829244,58.35166562829244,0.0,58.827917923881124,58.827917923881124,0.0,0.47625229558868654,0.47625229558868654
2014-07-09,60.817144210943525,60.92525443628877,0.10811022534524284,55.86242178563365,55.86242178563365,0.0,4.954722425309875,5.062832650655118
2014-07-10,57.62440635616017,57.62440635616017,0.0,59.581665518738305,59.581665518738305,0.0,1.9572591625781328,1.9572591625781328
2014-07-11,59.49656322025216,59.49656322025216,0.0,57.83590556821306,57.83590556821306,0.0,1.6606576520391059,1.6606576520391059
2014-07-14,62.39146293205929,62.962783568089854,0.5713206360305634,55.581011594829384,55.581011594829384,0.0,6.810451337229907,7.38177197326047
2014-07-15,61.621448965511014,61.96189509537462,0.3404461298636079,57.73234102804215,57.73234102804215,0.0,3.8891079374688644,4.229554067332472
2014-07-16,64.22558955673748,65.15441291852625,0.9288233617887727,55.391870600915034,55.391870600915034,0.0,8.833718955822441,9.762542317611214
2014-07-17,51.17792644202448,51.17792644202448,0.0,49.03321182785392,49.03321182785392,0.0,2.14471461417056,2.14471461417056
