date,tw_margin_change_20d,tw_margin_zscore,tw_foreign_flow_20d,tw_foreign_flow_zscore
2019-11-28,-0.0003479877526698649,2.0628709101108496,70482744902.0,0.1290820397011555
2019-11-29,-0.00010068788901052006,2.100175165448314,49610056032.0,-1.8585951455082328
2019-12-02,-0.0051107177417839544,2.0075607601863763,38625951184.0,0.42031897084877545
2019-12-03,0.0005555311184666234,2.033696730401624,30034241857.0,0.578719563531384
2019-12-04,0.0002220993692700901,2.0784105447871393,20837509505.0,-0.4534274008848399
2019-12-05,-0.001997470311582261,1.9898962813235923,22029035082.0,0.8009609448127843
2019-12-06,-0.0029216790565246287,2.0158452412207297,24406392933.0,0.4734482179577882
2019-12-09,0.0021342776226602744,1.9280428402237335,24754925968.0,0.5138768311676823
2019-12-10,-0.0009529743657529233,1.9092310944868676,17341955676.0,-0.466121531785884
2019-12-11,-0.005693862101032177,1.8933000644039948,27659577676.0,0.49387491141999346
2019-12-12,0.0019630837184767547,1.8911834087767487,32849157047.0,1.2508134979524532
2019-12-13,-0.0010182735133823506,1.746064051049361,44540543222.0,2.1451511978635933
2019-12-16,0.016345664338667465,2.106113052151807,43692865649.0,0.19880657344784003
2019-12-17,0.01830331348847891,2.0494848371100285,43560848332.0,1.4255626719536745
2019-12-18,0.019926293720557542,2.0466335215023026,47847765283.0,0.6384445574390712
2019-12-19,0.022656527704798535,2.073253229151266,50636478004.0,-1.0931469327092527
2019-12-20,0.024901177492589577,2.1017875295590795,46276843801.0,-0.7593874300997353
2019-12-23,0.02298862863673823,2.071504201589282,46619144564.0,0.1388283468454815
2019-12-24,0.024942855959553478,2.0451419808632547,46938459206.0,-0.025015208455236873
2019-12-25,0.026477143417499516,2.0816663218775537,45045301512.0,-0.03974035797789532
2019-12-26,0.026552855787164154,2.1456594203358645,43686814721.0,-0.11878232412108276
2019-12-27,0.023312208859181283,2.1065360293045665,64279750381.0,1.014290853571746
2019-12-30,0.030223138248449244,2.161513785856997,59367907936.0,-0.3460829225593614
2019-12-31,0.031608466111388456,2.2047619057816465,45365507901.0,-1.480664397241717
2020-01-02,0.02974867083578192,2.1989193934065328,44600763631.0,-0.6241535936089262
2020-01-03,0.025507418705631224,2.0307950660278875,38294648914.0,-0.1498011794023125
2020-01-06,0.02925269394939156,2.122874525096046,24650528977.0,-1.5226114233576202
2020-01-07,0.02594300997952259,1.9756613963005452,10633340372.0,-1.5234763035490095
2020-01-08,0.019380002214482106,1.8281397719740864,12133653784.0,-0.3000915585729126
2020-01-09,0.019460416602737673,1.8149328131837157,13501063514.0,0.6427276224473458
2020-01-10,0.01255279753032168,1.6795360410937765,10970268234.0,0.8463338898963731
2020-01-13,0.015090417641365317,1.6039940189917552,5748775293.0,1.3788886915335867
2020-01-14,-0.005645204734585962,1.5180331470333859,7750701666.0,0.44155028912641786
2020-01-15,-0.000443661242322424,1.5785464616704747,-12028669463.0,-1.392987942792897
2020-01-16,0.001659496324876386,1.623496602152221,-21949157873.0,-0.7931765018650229
2020-01-17,-0.004041491100737704,1.5444101420987084,-16974795768.0,-0.43656510332739207
2020-01-20,-0.019111701347329535,1.2900055170129092,-6984393967.0,0.6338171656861541
2020-01-30,-0.04788987708588499,0.7250051497501464,-26898787321.0,-2.6900886606393795
2020-01-31,-0.056804965418064346,0.5478135144827252,-44802204953.0,-2.521029449858599
2020-02-03,-0.07957920767457116,0.1554592855253474,-44216843289.0,0.05230329561275986
2020-02-04,-0.08530206106323979,0.11691180559690656,-48335312398.0,-0.6803113454060642
2020-02-05,-0.08835052732337922,0.04464464119792626,-56869605752.0,-0.18684992564054487
2020-02-06,-0.08624609516692738,0.15277316692798867,-50202876538.0,0.6131638727282427
2020-02-07,-0.09227661133712506,0.09267601537311605,-49562990995.0,-1.3381130670385286
2020-02-10,-0.09382131446510822,0.07943046457678682,-50677355426.0,-0.7415445637279339
2020-02-11,-0.08535858646037131,0.12006331883469142,-51230192990.0,-0.20009463590866497
2020-02-12,-0.09176188961364229,0.09363601227888366,-35238255345.0,0.7679912035690107
2020-02-13,-0.08694817396397192,0.07638382154227527,-23449555772.0,0.1723457959300679
2020-02-14,-0.07695455742612667,0.15540739639341383,-20524041750.0,0.1337019945578729
2020-02-17,-0.07303186464045552,0.23414900919830772,-30155513796.0,-0.6890460961740899
2020-02-18,-0.05737270639161063,0.4287079038811576,-58268360471.0,-2.998395175288152
2020-02-19,-0.05023243843821812,0.5072565338458547,-65193869272.0,0.4459446725835512
2020-02-20,-0.045605368536401736,0.5238427238859727,-77565045008.0,-1.2149856241394281
2020-02-21,-0.05221181025413424,0.4603121467679341,-72115007682.0,-0.5470518336029123
2020-02-24,-0.05022819535311085,0.5536290371793811,-93837165107.0,-3.598326906456298
2020-02-25,-0.04038523039940345,0.6822609097133885,-103431038985.0,-1.6117832519385777
2020-02-26,-0.02261548486301601,0.7858644446454619,-142115993673.0,-4.328931341262328
2020-02-27,-0.00835679972178327,0.4787229830080245,-147236397394.0,-2.9668871304186273
2020-03-02,0.0018879757366840888,0.4894635054150368,-149742033022.0,-2.477581910383106
2020-03-03,0.028351227271222967,0.5725053387780029,-164485392728.0,-1.6876153666118847
2020-03-04,0.03050350504009658,0.5689698092732287,-154174318524.0,0.7950429250375922
2020-03-05,0.027351575958299845,0.4260233660679651,-152674400599.0,0.12971065667366619
2020-03-06,0.031129030904423205,0.6179065896790649,-186709257495.0,-3.5078495859990664
2020-03-09,0.017955083005448458,0.29235385699157773,-232478985764.0,-6.122675114006673
2020-03-10,0.010535604854311709,0.13090632405480065,-236558597969.0,-0.9180938229285065
2020-03-11,0.0045880305156160706,0.05678586273847527,-257027447324.0,-2.303654630568092
2020-03-12,-0.04964273895248006,-1.0464862611521617,-300093767841.0,-3.9210705495719593
2020-03-13,-0.12791600837627815,-2.58851058315088,-332308098110.0,-3.129070868933413
2020-03-16,-0.15120070150534382,-2.9253999500640173,-367357919149.0,-3.3680181539698832
2020-03-17,-0.18984981847612836,-3.518716341536764,-386192647738.0,-2.263935967713966
2020-03-18,-0.22294827369694048,-3.870284248037902,-393694094423.0,-2.7931984377649828
2020-03-19,-0.31367622377358884,-5.213882787102563,-418715991300.0,-2.0075562342092295
2020-03-20,-0.31924006910452185,-5.02200867437532,-432351635249.0,-2.058512497823247
2020-03-23,-0.3240909106545996,-4.8815230193118335,-444748152277.0,-1.444736463335518
2020-03-24,-0.001945769712942913,0.42366182242013994,-413146937768.0,0.6637403409703181
2020-03-25,-0.33880940567433004,-4.756684343978308,-403793689751.0,-0.09104264237721975
2020-03-26,-0.34489105314458435,-4.577568244363327,-361988531232.0,0.9937477021580718
2020-03-27,-0.3308082520078637,-4.334382247354647,-348482998064.0,-0.8274735922314524
2020-03-30,-0.32298812389202103,-4.060723893823001,-333629177161.0,-0.3383491915915732
2020-03-31,-0.32486241646232505,-3.9067612925011037,-325908661153.0,-0.43196101633574235
2020-04-01,-0.3244580883178072,-3.774851094808044,-336892908216.0,-0.3179589258740665
2020-04-06,-0.31065344944301154,-3.5503102070361705,-335717020131.0,0.36977585054036405
2020-04-07,-0.31663237831284674,-3.442492533784868,-303506345140.0,0.49408481796966386
2020-04-08,-0.29885001974356384,-3.2749088288348016,-248717497219.0,0.17614012137979856
2020-04-09,-0.2867307192431302,-3.1217547412229774,-247282276272.0,-0.5634610606656043
2020-04-10,-0.2794728603625175,-2.9988656580257094,-226162562743.0,0.15163181366672154
2020-04-13,-0.23107499752944738,-2.8708560225546815,-196926371595.0,-0.6004826392956898
2020-04-14,-0.1551382009803446,-2.7558714338290247,-151558088225.0,1.658955454989241
2020-04-15,-0.13057778798194564,-2.657243378608143,-121887695165.0,-0.2082813013323076
2020-04-16,-0.08062749711428974,-2.50352871820045,-111298669041.0,-1.0744148731864578
2020-04-17,-0.06032401860110126,-2.5337590679514914,-62188306315.0,2.173825628783248
2020-04-20,0.07484209850918311,-2.37987727696039,-40451881564.0,0.21245636727272937
