date,us_score,tw_score,divergence
2011-01-25,60.02951560007582,55.05778369969444,4.9717319003813785
2011-01-26,60.53620487731158,57.59984325817347,2.9363616191381112
2011-01-27,62.325667306887205,59.43415273558585,2.8915145713013573
2011-01-28,58.31560735556856,57.91082101728758,0.404786338280978
2011-01-31,60.150548431779725,61.225959865958316,1.0754114341785908
2011-02-01,63.73685867341519,63.55662702305541,0.1802316503597794
2011-02-02,63.47334882335214,64.52827117518831,1.0549223518361686
2011-02-03,63.06986378552197,64.11430247969804,1.0444386941760726
2011-02-04,64.09460984977336,67.05264456197318,2.9580347121998187
2011-02-07,64.4828865947956,67.65722128931404,3.1743346945184356
2011-02-08,64.83243993346119,63.66323176552286,1.1692081679383293
2011-02-09,63.8981806075242,60.47750584525727,3.420674762266934
2011-02-10,63.21426902025446,60.59072318156318,2.6235458386912853
2011-02-11,64.67708918375331,61.16362408152354,3.513465102229773
2011-02-14,63.79282036001788,54.38583629877394,9.40698406124394
2011-02-15,62.364964632060946,54.795114640572386,7.56984999148856
2011-02-16,63.06288727305315,54.44048469032073,8.62240258273242
2011-02-17,63.18033542103567,54.719726667696534,8.460608753339137
2011-02-18,63.276756558794816,56.35267105398111,6.9240855048137036
2011-02-22,57.18138723265471,53.78698104919546,3.394406183459246
2011-02-23,54.675680226087835,49.57809853836484,5.097581687722993
2011-02-24,54.851525254004926,47.16888504036069,7.682640213644234
2011-02-25,57.93364509218934,52.290222465798024,5.643422626391313
2011-02-28,60.22944992620096,59.149967699928666,1.0794822262722903
2011-03-01,54.226260089124665,46.64705177349978,7.579208315624882
2011-03-02,53.533901591765,45.146446506711,8.387455085054
2011-03-03,59.470607777153404,50.372920189438126,9.097687587715278
2011-03-04,56.76996927822252,49.446324259550614,7.323645018671904
2011-03-07,54.03608364007378,44.09352560153598,9.942558038537797
2011-03-08,56.35272655021498,46.678942977307905,9.673783572907077
2011-03-09,55.42942878184137,48.07087864679228,7.358550135049086
2011-03-10,50.98424358735123,46.05381325679188,4.9304303305593535
2011-03-11,53.33250727154812,44.59332270486924,8.73918456667888
2011-03-14,50.779650186578515,50.41885949844759,0.3607906881309262
2011-03-15,47.547409207000385,53.744745852604204,6.197336645603819
2011-03-16,41.318841974266796,43.26758406143367,1.9487420871668775
2011-03-17,45.5409877673175,42.54452099452262,2.996466772794882
2011-03-18,46.6417552065851,43.155655129310624,3.486100077274479
2011-03-21,51.86870700852423,42.208097649117846,9.660609359406386
2011-03-22,52.8944357483637,44.307148958793235,8.587286789570463
2011-03-23,54.05418037686725,43.69491729202274,10.359263084844514
2011-03-24,57.42620106486852,46.22508983668938,11.201111228179144
2011-03-25,57.185191552798,47.26835661849169,9.916834934306316
2011-03-28,55.34488333052995,44.35947835739184,10.98540497313811
2011-03-29,58.87586615971128,48.16612258684393,10.709743572867346
2011-03-30,60.22986037202287,51.06493264237689,9.164927729645981
2011-03-31,58.03962770412297,50.73570630460393,7.303921399519041
2011-04-01,60.216226289663624,48.7272477912532,11.488978498410425
2011-04-04,60.62156337134261,61.326467972509064,0.7049046011664544
2011-04-05,59.10741686684177,60.10177921869976,0.994362351857994
2011-04-06,59.998261060668526,56.16949626771539,3.8287647929531374
2011-04-07,61.477023736404114,54.176227197762294,7.300796538641819
2011-04-08,59.16949524791535,56.54649943249591,2.6229958154194435
2011-04-11,59.20359204103797,52.24151185355957,6.962080187478399
2011-04-12,58.14968617440521,49.610892719120514,8.538793455284697
2011-04-13,57.461377898847914,49.06641068116712,8.394967217680794
2011-04-14,55.09301722493359,54.741143424407504,0.35187380052608574
2011-04-15,55.71664488238473,53.59292200894022,2.123722873444507
2011-04-18,49.69650494755048,50.11217461660106,0.41566966905057967
2011-04-19,52.95776979591835,51.494465218704946,1.4633045772134068
2011-04-20,55.512864816669165,56.05404376677243,0.5411789501032658
2011-04-21,55.614830489045744,64.03679693684107,8.421966447795327
2011-04-25,54.04025934369281,56.19922197528924,2.158962631596431
2011-04-26,55.67827573526714,54.65131702152555,1.0269587137415925
2011-04-27,54.250844219454486,59.568185539069006,5.3173413196145205
2011-04-28,54.36256054388002,58.388726052295866,4.026165508415843
2011-04-29,53.18860862822423,58.28112117580357,5.092512547579339
2011-05-02,52.51313284806645,51.9829494317799,0.5301834162865475
2011-05-03,51.807863836169744,53.32865511228242,1.520791276112675
2011-05-04,51.320674767058655,51.393005873817984,0.07233110675932863
2011-05-05,51.35372621802676,56.42483806208982,5.071111844063061
2011-05-06,51.10751908974335,55.763905546832085,4.656386457088736
2011-05-09,51.722179873873834,55.58849946436152,3.8663195904876844
2011-05-10,57.00383282167163,51.945741525006596,5.058091296665033
2011-05-11,55.69535152164402,53.83505115849864,1.8603003631453774
2011-05-12,57.48764464881195,54.87647936542858,2.6111652833833716
2011-05-13,56.04782298644376,54.822009632214964,1.225813354228798
2011-05-16,53.97469679788354,50.03797319313677,3.936723604746767
2011-05-17,54.44508712049717,50.98853632824111,3.45655079225606
2011-05-18,56.773580111429375,51.810625469471724,4.962954641957651
2011-05-19,56.5855233740924,56.314100631844084,0.2714227422483191
2011-05-20,52.09886763945717,53.47515684967506,1.376289210217891
2011-05-23,48.51408376097629,49.82686709101552,1.312783330039231
2011-05-24,47.69738011916911,49.580721593883155,1.8833414747140438
2011-05-25,48.72241296819479,49.34540257532821,0.6229896071334196
2011-05-26,50.51726992084684,49.3508855323642,1.1663843884826406
2011-05-27,50.444632624108046,50.533393751801015,0.08876112769296896
2011-05-31,53.95253769271318,58.00928248561763,4.056744792904453
2011-06-01,47.17007167678988,53.40718004090761,6.237108364117731
2011-06-02,47.9400574163088,50.334022008959906,2.393964592651109
2011-06-03,44.84971201219308,46.93225011743711,2.0825381052440264
2011-06-06,41.207137973551276,34.00643318027964,7.200704793271633
2011-06-07,40.87831644056133,45.610132680677694,4.731816240116366
2011-06-08,38.35129501655975,45.481789086041395,7.130494069481642
2011-06-09,41.74065909027307,44.901426923379134,3.160767833106064
2011-06-10,37.340037288790825,44.77826510511058,7.438227816319753
2011-06-13,38.0653200372535,42.038581001526566,3.9732609642730665
2011-06-14,42.898739757502725,42.31938005940293,0.5793596980997933
2011-06-15,35.93524087749795,47.10591416026199,11.170673282764042
2011-06-16,33.53888382882603,38.768643614191056,5.229759785365026
2011-06-17,34.447718024015636,40.03958795663717,5.591869932621535
2011-06-20,38.49528755240724,38.60094322500934,0.10565567260209718
2011-06-21,43.79677392542675,39.376167821464755,4.420606103961994
2011-06-22,42.15704382364575,38.95912452504085,3.1979192986049014
2011-06-23,41.86630144185803,36.78775948654121,5.078541955316815
2011-06-24,38.13058156504969,38.08258961537155,0.047991949678134915
2011-06-27,40.83126501204596,38.90701561836953,1.9242493936764333
2011-06-28,44.39736482155514,39.13048516988381,5.266879651671331
2011-06-29,48.963272265138094,46.565734025641525,2.397538239496569
2011-06-30,53.12491193078944,48.924694914454825,4.200217016334612
2011-07-01,59.91307023645773,52.787530167161684,7.1255400692960436
2011-07-05,59.20147493422593,48.98634849153238,10.215126442693546
2011-07-06,58.68625153869179,48.25724360179183,10.429007936899964
2011-07-07,62.03936870355504,49.65764150935139,12.381727194203648
2011-07-08,57.98276920191786,50.51188624984663,7.4708829520712285
2011-07-11,51.80062303765358,41.300516302635955,10.500106735017624
2011-07-12,48.2882517349185,40.78780382913884,7.500447905779659
2011-07-13,46.86001613970929,39.01789521289046,7.842120926818829
2011-07-14,44.55865306547453,41.29489080449917,3.263762260975362
2011-07-15,47.59434887998317,42.189286355526654,5.405062524456518
2011-07-18,42.89977514707369,39.67669955864758,3.223075588426113
2011-07-19,50.742295320693806,40.48830479046194,10.253990530231867
2011-07-20,48.28744415722038,44.778133786456785,3.5093103707635933
2011-07-21,56.245639362241285,46.75868656164035,9.486952800600932
2011-07-22,55.98881151157209,49.212243417874156,6.776568093697932
2011-07-25,52.40804075405947,40.56927284611653,11.838767907942938
2011-07-26,49.2186967763566,39.93074566050544,9.287951115851165
2011-07-27,39.39658347794667,43.75550947611841,4.358925998171742
2011-07-28,37.05976507966896,41.481848595334284,4.422083515665321
2011-07-29,31.94786899260125,38.12648618855824,6.178617195956988
2011-08-01,30.082194002080506,38.69664531333291,8.614451311252402
2011-08-02,20.39762192755806,30.842654386917854,10.445032459359794
2011-08-03,23.27122269403527,31.8421527861078,8.57093009207253
2011-08-04,13.491744534735153,26.43671221976104,12.944967685025889
2011-08-05,13.607961521816762,24.86575491686561,11.257793395048846
2011-08-08,13.53340862547446,21.70250422892995,8.16909560345549
2011-08-09,13.78216039239329,22.103148106142744,8.320987713749453
2011-08-10,13.718036319833242,19.065744395122945,5.347708075289702
2011-08-11,13.149115831452653,16.314933850585344,3.1658180191326917
2011-08-12,13.93695305082745,13.82926458932408,0.10768846150337019
2011-08-15,18.894909415464866,7.976608760636049,10.918300654828817
2011-08-16,15.872138686058623,8.457000823821165,7.415137862237458
2011-08-17,17.289552031327087,8.095659151331947,9.19389287999514
2011-08-18,13.010342899500358,8.662998991989813,4.347343907510545
2011-08-19,12.784678484416132,10.198024677955878,2.5866538064602533
2011-08-22,12.865027283083624,10.075155642178213,2.7898716409054103
2011-08-23,13.279926292602962,10.213738699197346,3.0661875934056155
2011-08-24,16.55179249462811,11.711021543955937,4.840770950672173
2011-08-25,14.712685921817235,10.047477189479109,4.665208732338126
2011-08-26,17.93928818385253,9.197163849139693,8.742124334712836
2011-08-29,25.28094695566576,8.443742208897413,16.837204746768343
2011-08-30,26.540399700494937,10.736054553886783,15.804345146608155
2011-08-31,28.220168521143385,12.424436120854287,15.795732400289099
2011-09-01,29.423738084215785,17.044217722598027,12.379520361617757
2011-09-02,24.166242326309025,11.081291242595906,13.084951083713118
2011-09-06,25.948783562975706,13.702688935208107,12.246094627767599
2011-09-07,29.53793777608799,14.3711570065758,15.16678076951219
2011-09-08,29.309523116831304,14.90981709136903,14.399706025462274
2011-09-09,20.960471661870944,14.029471625645915,6.931000036225029
2011-09-12,22.238790791889237,5.982145044046224,16.256645747843013
2011-09-13,23.241486343478535,15.855026362519151,7.386459980959383
2011-09-14,28.289917338610216,21.04414375134727,7.245773587262946
2011-09-15,33.72409368023244,18.614283525873468,15.109810154358975
2011-09-16,38.49625252651707,23.38591865508664,15.110333871430427
2011-09-19,38.22305244605185,15.698321353176263,22.52473109287559
2011-09-20,37.619520458952344,19.321683939402888,18.297836519549456
2011-09-21,28.28796674134947,21.60114241856462,6.686824322784851
2011-09-22,21.57799194827187,19.394339236746095,2.183652711525774
2011-09-23,25.91914611971405,24.256400860457234,1.6627452592568162
2011-09-26,30.857127670017338,22.36976242216495,8.487365247852388
2011-09-27,30.839813088143245,22.00899741568706,8.830815672456186
2011-09-28,26.980914430232463,20.919375519711462,6.061538910521001
2011-09-29,29.038296378721732,20.90272615325215,8.135570225469582
2011-09-30,24.36003562971124,21.052491209189803,3.307544420521438
2011-10-03,21.4267735986446,15.495118362781302,5.9316552358633
2011-10-04,27.74648957785906,19.262674260186046,8.483815317673013
2011-10-05,29.94766639200588,17.402462661054827,12.545203730951052
2011-10-06,34.24056014029023,22.667479784322744,11.573080355967484
2011-10-07,35.39430624656007,24.490099052343545,10.904207194216525
2011-10-10,41.10831188604123,25.188287266362302,15.920024619678927
2011-10-11,40.969389650235186,29.07172821180822,11.897661438426965
2011-10-12,41.90463486944624,26.74914458723955,15.155490282206692
2011-10-13,40.67790782737128,28.74980085884773,11.928106968523547
2011-10-14,43.971976359334484,26.048961449416616,17.923014909917867
2011-10-17,38.65327702406751,27.16139714053234,11.491879883535173
2011-10-18,42.96903137573683,25.78250588024817,17.186525495488663
2011-10-19,42.18008892457591,26.692931515172,15.487157409403913
2011-10-20,45.516572383378445,26.36599520513272,19.150577178245726
2011-10-21,49.44703617373042,26.569381064113834,22.877655109616583
2011-10-24,50.32656433402666,36.46930277921878,13.857261554807884
2011-10-25,44.36522748099203,34.19947363483719,10.165753846154843
2011-10-26,48.10954441444317,35.011138068625186,13.098406345817985
2011-10-27,55.11940772975693,43.00333088204636,12.116076847710566
2011-10-28,56.86802038349274,46.677226610747056,10.190793772745685
2011-10-31,53.618788060460915,35.66043808258762,17.958349977873297
2011-11-01,45.401927564262635,35.887019001483125,9.51490856277951
2011-11-02,47.245696083903354,37.85154345574769,9.394152628155666
2011-11-03,49.493768506874304,37.525349845875645,11.968418660998658
2011-11-04,49.24567719095882,39.280454307460765,9.965222883498058
2011-11-07,47.621423573758435,33.76955442932485,13.851869144433586
2011-11-08,50.9254362539236,36.7987427485858,14.126693505337798
2011-11-09,41.12825700292718,34.11508450259603,7.013172500331152
2011-11-10,44.40977961372512,38.605341311116604,5.804438302608517
2011-11-11,46.924469423575474,33.16032940920981,13.764140014365665
2011-11-14,46.352618521798014,32.82606160321354,13.526556918584475
2011-11-15,45.81899997517945,30.22667186525469,15.592328109924761
2011-11-16,43.42487365020748,32.848045875890946,10.576827774316534
2011-11-17,40.7569180440618,31.023034168229536,9.733883875832262
2011-11-18,39.911492318858734,31.797840925743294,8.11365139311544
2011-11-21,36.18485890480357,33.09514450957367,3.0897143952298975
2011-11-22,36.83392774211778,31.793181222914804,5.040746519202976
2011-11-23,32.010099655135384,31.086971421571867,0.9231282335635171
2011-11-25,29.64413153260577,31.795716639863986,2.1515851072582173
2011-11-28,33.97402171642027,26.994336633497973,6.979685082922295
